Department,Semester,Gender,Age,Course,GPA,Credits Earned,Attendance (%),Study Hours per Day,Previous Marks (%),Assignment Score,Subject Average (%),Subject Attendance Average (%),Predicted Result
Electronics,5,Male,24,B.Sc,6.1,36,83,4.0,68,6.2,83.6,71.4,On Track
Business Analytics,1,Female,24,MCA,9.2,27,77,3.0,91,3.6,98.0,71.6,On Track
Mechanical,8,Female,21,B.Sc,5.5,44,49,5.2,48,8.5,57.8,48.4,On Track
Business Analytics,8,Non-binary,21,B.Tech,8.2,54,52,3.8,91,5.7,93.2,45.0,On Track
Mechanical,3,Non-binary,25,BCA,7.1,20,98,3.1,69,9.2,76.2,82.6,On Track
Information Technology,4,Female,24,BCA,6.3,33,62,4.0,84,7.7,77.7,56.5,On Track
Business Analytics,8,Male,21,MBA,5.1,46,79,1.6,43,4.4,50.8,70.9,At Risk
Information Technology,5,Male,25,B.Tech,8.4,43,94,0.8,64,9.6,79.2,86.0,On Track
Civil,3,Female,21,B.Sc,5.7,25,62,2.2,77,8.7,71.3,56.3,On Track
Mechanical,5,Male,25,B.Tech,8.3,28,58,1.8,89,7.4,84.1,53.2,On Track
Electronics,7,Non-binary,19,BCA,6.3,50,59,1.0,42,8.5,60.2,56.0,On Track
Electronics,3,Female,18,MCA,7.4,29,68,2.2,88,9.6,83.7,58.2,On Track
Business Analytics,4,Male,24,MCA,8.8,31,65,3.5,94,3.5,98.0,54.0,On Track
Business Analytics,5,Non-binary,24,B.Tech,8.9,40,51,1.4,51,9.7,63.8,45.0,On Track
Business Analytics,6,Female,21,B.Sc,5.5,34,50,0.7,68,8.6,66.1,45.0,At Risk
Computer Science,2,Male,22,B.Tech,5.3,17,76,2.8,80,7.8,78.3,67.1,On Track
Information Technology,5,Non-binary,18,B.Sc,6.2,30,90,6.3,38,9.2,68.9,80.9,On Track
Information Technology,2,Non-binary,19,B.Sc,5.4,19,59,2.3,57,4.6,54.9,55.4,At Risk
Electronics,4,Male,25,B.Tech,7.9,29,68,2.2,89,8.3,82.8,55.9,On Track
Business Analytics,4,Female,25,MCA,7.0,39,72,3.2,50,10.0,69.2,60.5,On Track
Civil,3,Male,20,B.Tech,5.8,34,85,3.8,38,5.3,56.8,81.5,At Risk
Civil,5,Non-binary,21,MCA,8.5,33,78,3.8,76,8.2,87.4,75.3,On Track
Civil,2,Female,21,B.Tech,5.4,17,52,5.8,56,4.2,68.1,50.1,At Risk
Information Technology,1,Female,18,BCA,8.8,13,67,5.6,94,9.0,95.5,62.3,On Track
Computer Science,2,Male,18,B.Sc,8.6,16,98,5.3,93,6.0,97.2,92.2,On Track
Electronics,1,Female,25,BCA,9.7,13,90,3.9,46,6.5,82.7,82.8,On Track
Mechanical,2,Non-binary,23,MBA,5.8,16,53,3.6,74,5.1,77.2,45.0,On Track
Business Analytics,8,Female,22,MBA,6.8,43,73,0.9,83,6.3,85.7,64.5,On Track
Civil,2,Non-binary,20,MCA,9.2,26,52,1.5,92,4.7,91.7,51.6,On Track
Mechanical,8,Non-binary,19,B.Tech,9.5,43,67,3.9,59,7.4,86.3,57.8,On Track
Computer Science,4,Male,18,MCA,9.6,39,78,2.4,47,5.2,68.6,66.3,On Track
Electronics,6,Male,21,MBA,5.2,45,91,5.5,51,9.8,67.9,83.0,On Track
Civil,4,Male,22,BCA,8.9,35,80,2.6,77,8.1,91.6,75.8,On Track
Mechanical,2,Male,25,B.Sc,8.6,30,54,6.1,68,6.5,81.7,45.0,On Track
Civil,4,Non-binary,18,BCA,7.9,24,70,6.1,60,4.2,86.3,58.5,On Track
Information Technology,7,Non-binary,18,B.Sc,8.2,36,96,6.4,81,7.5,95.7,84.3,On Track
Computer Science,4,Non-binary,25,MBA,6.4,38,96,4.9,70,7.8,79.5,90.0,On Track
Business Analytics,6,Non-binary,24,B.Sc,7.9,44,98,2.6,72,8.1,76.9,85.0,On Track
Computer Science,6,Female,24,BCA,6.4,43,94,4.9,56,5.7,74.8,85.1,On Track
Electronics,5,Female,20,B.Tech,9.4,38,56,4.3,67,8.5,91.0,56.4,On Track
Business Analytics,4,Female,19,BCA,6.8,36,55,5.8,58,6.5,73.9,50.6,On Track
Electronics,4,Non-binary,22,B.Tech,8.2,34,78,2.9,80,7.4,93.3,67.3,On Track
Electronics,6,Non-binary,17,B.Tech,8.1,34,75,4.1,77,4.8,91.2,62.3,On Track
Electronics,4,Male,25,B.Sc,7.2,38,80,1.4,52,4.2,68.9,73.8,At Risk
Mechanical,5,Non-binary,24,BCA,9.5,36,80,0.9,67,7.7,82.4,76.3,On Track
Computer Science,8,Non-binary,22,BCA,5.3,51,88,2.2,40,5.7,59.5,79.5,At Risk
Civil,4,Non-binary,19,MBA,9.2,36,95,3.3,60,6.5,86.1,80.9,On Track
Information Technology,3,Male,25,MBA,8.6,23,74,1.7,49,8.4,71.3,67.3,On Track
Information Technology,2,Male,24,B.Sc,7.7,28,80,2.6,66,8.7,70.6,66.8,On Track
Electronics,5,Non-binary,19,MBA,9.1,43,62,1.2,45,3.7,69.4,55.6,At Risk
Business Analytics,5,Male,25,MCA,8.2,43,49,5.8,42,4.5,68.6,46.3,At Risk
Business Analytics,7,Non-binary,25,MBA,8.9,38,48,2.1,60,7.2,70.6,48.5,On Track
Computer Science,6,Non-binary,24,BCA,6.1,45,88,2.2,57,8.9,71.3,82.5,On Track
Mechanical,8,Non-binary,25,B.Tech,9.1,53,55,5.5,77,9.8,94.0,48.2,On Track
Civil,3,Female,19,B.Tech,9.3,25,82,6.1,62,5.8,89.6,69.2,On Track
Business Analytics,2,Male,17,MCA,8.8,23,92,2.0,52,4.4,71.1,88.5,On Track
Computer Science,1,Male,22,MBA,8.4,23,83,6.2,50,4.7,85.7,75.1,On Track
Business Analytics,2,Non-binary,23,BCA,6.3,25,94,6.1,57,7.0,80.5,79.3,On Track
Mechanical,5,Male,18,MBA,6.2,32,95,1.8,65,5.6,74.1,88.4,On Track
Computer Science,6,Non-binary,23,MCA,6.5,36,61,2.9,42,8.4,58.0,53.3,At Risk
Information Technology,7,Non-binary,17,MBA,7.7,48,66,2.4,77,7.9,82.3,57.1,On Track
Civil,1,Male,18,MCA,5.6,26,55,5.1,82,6.6,84.9,51.7,On Track
Computer Science,4,Non-binary,18,B.Tech,8.9,34,65,5.0,55,5.9,77.7,54.2,On Track
Civil,5,Male,24,BCA,5.6,35,56,1.8,92,6.4,80.1,54.5,At Risk
Business Analytics,3,Female,23,BCA,5.0,24,51,4.7,83,4.4,87.3,45.0,On Track
Mechanical,4,Male,18,BCA,5.6,28,67,2.2,63,7.1,71.2,57.9,On Track
Mechanical,8,Non-binary,22,B.Tech,5.5,49,95,0.7,90,5.7,89.6,89.7,On Track
Information Technology,3,Non-binary,18,BCA,7.8,21,63,5.5,69,3.7,90.2,54.8,On Track
Business Analytics,5,Non-binary,21,B.Tech,7.8,44,89,1.5,64,7.8,76.5,84.8,On Track
Business Analytics,2,Female,18,BCA,7.2,32,73,1.5,51,6.6,56.6,70.7,On Track
Computer Science,3,Non-binary,20,MBA,5.9,28,90,1.8,54,9.1,71.1,79.4,On Track
Computer Science,1,Female,18,MBA,5.0,20,66,3.5,90,4.6,76.1,64.9,On Track
Business Analytics,3,Male,21,B.Tech,8.6,32,68,2.7,74,4.3,83.9,56.0,On Track
Civil,6,Female,19,MCA,9.0,40,73,6.3,75,5.6,91.7,67.1,On Track
Mechanical,1,Non-binary,21,B.Tech,8.8,28,78,6.0,44,6.6,74.8,67.5,On Track
Computer Science,6,Non-binary,23,MBA,6.1,47,66,2.4,62,7.9,61.9,57.0,On Track
Electronics,2,Female,22,B.Sc,7.2,20,89,6.1,88,9.2,98.0,75.8,On Track
Business Analytics,3,Female,25,BCA,6.0,23,50,1.7,51,6.2,52.8,46.0,At Risk
Information Technology,4,Non-binary,25,B.Sc,6.5,34,72,5.8,46,5.7,70.0,70.5,On Track
Mechanical,6,Female,21,B.Sc,9.2,38,84,3.0,78,9.5,83.6,73.5,On Track
Information Technology,5,Female,17,MBA,5.7,37,82,5.8,93,8.1,93.6,76.3,On Track
Mechanical,4,Female,22,BCA,8.6,40,98,0.6,86,4.7,87.2,90.5,On Track
Civil,1,Female,20,BCA,7.3,28,56,5.1,93,7.2,94.2,49.5,On Track
Civil,4,Non-binary,18,MBA,9.4,38,98,3.8,47,8.9,83.0,87.7,On Track
Computer Science,4,Female,19,BCA,5.7,33,71,4.4,48,8.5,59.1,60.8,On Track
Civil,7,Male,23,BCA,4.8,42,80,2.8,74,5.7,70.5,74.7,On Track
Computer Science,5,Male,22,B.Sc,8.2,42,97,1.0,76,9.0,83.2,88.8,On Track
Computer Science,1,Female,23,B.Tech,5.7,24,83,5.0,95,3.8,98.0,73.0,On Track
Mechanical,1,Male,24,B.Sc,6.4,19,69,1.5,40,7.9,47.3,63.8,At Risk
Mechanical,5,Female,22,B.Sc,7.2,34,48,6.0,64,5.1,86.2,47.6,On Track
Computer Science,8,Non-binary,20,B.Tech,8.2,45,58,0.8,90,9.9,86.2,49.9,On Track
Electronics,2,Male,20,BCA,6.0,28,80,3.7,71,7.9,84.4,75.2,On Track
Information Technology,7,Female,23,MCA,6.3,40,69,2.2,76,4.7,75.6,64.0,On Track
Computer Science,5,Female,22,BCA,6.4,39,53,5.1,47,6.9,69.4,53.7,On Track
Business Analytics,7,Male,18,B.Tech,8.7,46,92,5.7,82,4.3,97.2,88.3,On Track
Electronics,4,Female,19,BCA,5.3,40,96,5.5,48,6.4,64.6,89.3,On Track
Information Technology,4,Female,19,B.Tech,5.6,25,65,2.4,53,5.7,59.2,61.6,At Risk
Electronics,2,Female,23,B.Sc,5.1,16,64,5.2,83,5.9,91.3,55.1,On Track
Mechanical,3,Male,17,MCA,7.7,29,95,2.6,60,9.4,81.7,88.1,On Track
Information Technology,6,Non-binary,22,B.Sc,5.4,47,90,1.7,83,8.2,87.2,79.3,On Track
Civil,5,Non-binary,23,B.Tech,8.8,37,69,4.9,85,5.5,92.5,61.3,On Track
Civil,4,Female,23,BCA,6.4,25,57,6.1,44,4.5,66.7,54.0,At Risk
Computer Science,1,Non-binary,18,MCA,8.5,12,62,1.3,77,7.9,82.5,56.2,On Track
Civil,5,Non-binary,21,B.Sc,7.2,36,62,3.9,80,5.4,87.0,54.5,On Track
Information Technology,2,Non-binary,21,B.Sc,6.2,27,85,4.7,77,5.3,83.2,80.4,On Track
Information Technology,2,Female,24,B.Sc,8.0,16,95,2.1,94,5.3,95.3,88.5,On Track
Mechanical,6,Non-binary,17,MBA,8.8,48,72,3.6,72,8.4,85.5,67.5,On Track
Information Technology,6,Non-binary,17,B.Sc,5.6,33,82,6.0,92,8.2,91.1,77.5,On Track
Mechanical,7,Female,17,B.Sc,5.8,37,84,3.0,73,8.2,84.9,77.7,On Track
Electronics,4,Male,17,B.Tech,7.0,27,88,6.2,71,5.7,86.6,79.0,On Track
Computer Science,5,Non-binary,19,BCA,6.1,39,70,2.7,87,8.0,77.7,63.6,On Track
Mechanical,4,Male,24,MBA,6.3,26,75,0.8,57,9.5,60.0,63.7,On Track
Information Technology,7,Male,22,BCA,7.8,42,62,1.2,91,6.3,86.8,56.9,On Track
Information Technology,5,Female,18,MBA,5.3,43,58,5.2,80,9.2,87.0,58.1,On Track
Computer Science,8,Female,18,B.Tech,7.8,54,82,2.8,86,4.7,96.0,74.8,On Track
Civil,8,Male,23,BCA,6.0,41,89,0.5,53,5.0,61.3,81.3,At Risk
Civil,8,Non-binary,20,B.Tech,6.0,47,75,3.2,44,9.5,59.7,61.8,On Track
Civil,6,Non-binary,18,B.Tech,8.7,42,91,3.5,54,6.9,75.8,83.6,On Track
Business Analytics,4,Female,23,B.Tech,5.0,29,75,2.7,60,5.9,60.6,69.1,On Track
Electronics,4,Female,19,MBA,7.2,32,84,6.4,54,5.8,73.1,78.7,On Track
Computer Science,7,Female,21,B.Tech,5.5,46,78,2.2,89,4.6,89.1,75.0,On Track
Electronics,6,Male,21,B.Sc,8.5,32,72,2.7,94,4.3,98.0,69.0,On Track
Computer Science,8,Female,21,B.Sc,9.2,50,50,3.0,77,6.6,79.7,45.0,On Track
Civil,4,Male,23,B.Tech,6.3,31,92,1.5,83,8.6,76.2,83.0,On Track
Mechanical,7,Male,22,BCA,5.9,36,53,1.6,69,4.9,68.9,45.0,At Risk
Computer Science,1,Non-binary,21,B.Tech,5.8,24,95,4.7,79,3.5,92.8,79.9,On Track
Civil,2,Female,23,B.Sc,8.0,21,81,2.3,67,4.7,83.7,68.8,On Track
Computer Science,7,Female,19,B.Tech,4.8,46,92,1.4,74,5.3,73.4,83.5,On Track
Business Analytics,4,Non-binary,22,B.Sc,7.1,35,79,5.9,91,4.3,93.6,73.9,On Track
Computer Science,4,Male,24,MCA,6.8,39,92,1.8,62,8.4,73.0,79.6,On Track
Information Technology,3,Female,19,B.Tech,5.0,21,51,6.0,89,8.7,89.1,47.4,On Track
Business Analytics,6,Female,18,B.Sc,8.6,42,86,2.4,57,7.9,74.0,77.3,On Track
Electronics,7,Non-binary,19,B.Sc,8.4,39,71,5.8,75,4.0,84.7,61.0,On Track
Business Analytics,3,Non-binary,24,MCA,7.0,36,57,5.9,89,4.6,94.7,48.7,On Track
Business Analytics,4,Non-binary,25,MBA,7.4,36,52,4.8,40,5.7,61.7,51.4,On Track
Mechanical,1,Female,22,BCA,9.5,22,48,5.1,42,8.6,68.8,46.0,On Track
Electronics,8,Non-binary,25,B.Tech,5.8,51,74,4.9,60,8.1,67.7,66.2,On Track
Computer Science,5,Female,18,MBA,9.0,38,81,0.9,61,4.7,71.9,68.2,On Track
Business Analytics,2,Female,24,B.Sc,9.4,17,65,3.4,82,4.3,92.6,58.3,On Track
Business Analytics,8,Non-binary,19,B.Tech,6.7,56,98,5.2,90,9.2,98.0,88.1,On Track
Computer Science,7,Male,19,BCA,8.9,45,64,2.2,45,7.5,70.3,62.8,On Track
Civil,5,Female,24,BCA,5.0,34,72,4.5,84,9.5,75.7,67.5,On Track
Information Technology,6,Female,23,B.Sc,7.0,35,95,4.6,48,7.9,68.0,81.1,On Track
Civil,6,Male,25,B.Tech,5.7,39,92,5.9,62,6.7,85.5,84.6,On Track
Civil,8,Non-binary,22,MBA,6.2,41,48,4.2,93,5.2,80.6,45.0,On Track
Civil,4,Non-binary,20,B.Sc,6.5,35,96,3.8,76,9.3,79.4,91.9,On Track
Mechanical,7,Male,17,B.Tech,8.6,47,71,1.4,90,6.1,92.1,67.3,On Track
Business Analytics,1,Male,17,MCA,9.4,15,92,1.1,54,4.0,77.1,86.4,On Track
Computer Science,7,Male,22,BCA,5.5,47,91,2.5,81,9.1,81.0,85.6,On Track
Mechanical,2,Non-binary,22,BCA,9.0,22,49,4.0,89,7.0,87.8,47.2,On Track
Civil,4,Non-binary,21,B.Tech,6.1,37,60,1.1,68,8.7,65.0,51.7,On Track
Electronics,6,Non-binary,22,BCA,6.4,38,64,1.0,75,9.5,73.2,60.3,On Track
Information Technology,3,Non-binary,19,B.Sc,8.7,24,51,0.7,65,4.6,67.4,45.0,At Risk
Business Analytics,4,Male,25,BCA,8.2,38,57,1.0,60,8.7,66.9,51.6,On Track
Computer Science,5,Non-binary,25,BCA,5.4,35,66,0.7,61,10.0,62.8,63.3,At Risk
Business Analytics,5,Male,20,MBA,9.3,44,70,3.9,48,6.1,79.1,64.7,On Track
Mechanical,5,Male,23,B.Sc,5.1,35,69,4.9,40,4.5,59.6,59.2,At Risk
Business Analytics,8,Non-binary,24,B.Tech,7.3,52,95,2.4,81,5.6,78.8,87.7,On Track
Business Analytics,6,Male,22,MBA,6.6,33,94,4.9,85,8.5,87.6,90.0,On Track
Computer Science,6,Female,20,MCA,8.4,36,62,1.1,67,4.5,69.5,51.4,At Risk
Information Technology,4,Non-binary,25,BCA,9.2,39,88,0.5,92,4.4,97.1,81.1,On Track
Computer Science,3,Female,24,B.Sc,7.9,22,64,4.2,93,4.6,98.0,53.9,On Track
Computer Science,7,Non-binary,22,BCA,9.4,42,48,3.6,70,9.0,90.5,49.1,On Track
Electronics,4,Male,23,MCA,5.5,34,76,2.7,56,6.7,72.3,66.3,On Track
Computer Science,2,Female,17,B.Sc,5.9,26,80,4.8,61,9.9,73.4,67.8,On Track
Civil,3,Female,17,MBA,8.4,32,70,2.4,43,3.8,68.5,64.2,At Risk
Computer Science,2,Male,19,BCA,8.7,24,71,1.9,50,5.1,71.4,59.3,On Track
Electronics,7,Male,20,B.Sc,8.0,43,74,2.2,40,5.1,60.7,69.5,At Risk
Computer Science,2,Non-binary,23,B.Tech,4.8,23,95,1.7,68,7.6,62.8,85.4,At Risk
Computer Science,5,Male,21,BCA,5.8,32,74,2.3,80,7.8,83.9,66.9,On Track
Information Technology,8,Non-binary,21,B.Sc,7.2,53,50,6.0,68,4.0,82.4,45.0,At Risk
Computer Science,7,Female,17,MCA,6.2,38,97,1.3,43,4.9,61.4,90.4,At Risk
Computer Science,4,Female,20,MBA,8.6,37,51,2.9,88,7.8,81.6,49.8,On Track
Mechanical,5,Female,20,B.Sc,6.4,37,80,2.0,81,9.1,84.2,70.6,On Track
Information Technology,3,Non-binary,23,BCA,5.2,21,55,4.2,49,7.1,58.5,46.4,At Risk
Electronics,7,Female,22,MBA,7.2,41,72,1.5,70,3.9,69.3,69.8,At Risk
Mechanical,3,Female,18,B.Tech,8.8,25,84,1.3,77,5.7,80.8,77.8,On Track
Information Technology,8,Non-binary,22,B.Tech,5.0,48,72,4.3,78,6.8,86.3,61.4,On Track
Mechanical,7,Non-binary,23,MBA,5.6,51,72,3.2,91,3.7,84.4,70.2,At Risk
Business Analytics,2,Female,17,MCA,7.3,20,81,3.6,83,5.5,94.3,72.3,On Track
Information Technology,6,Female,23,B.Tech,6.7,48,68,4.2,45,5.9,68.8,56.4,At Risk
Mechanical,5,Non-binary,20,B.Sc,9.3,40,91,6.0,44,7.8,84.4,87.3,On Track
Business Analytics,7,Male,20,MBA,5.1,37,94,2.1,58,6.2,60.9,87.6,At Risk
Mechanical,1,Male,18,B.Sc,5.9,22,90,4.9,85,8.7,92.4,75.6,On Track
Information Technology,4,Non-binary,22,MCA,8.5,32,89,5.8,77,7.1,98.0,85.5,On Track
Business Analytics,3,Male,21,B.Tech,6.2,26,72,5.5,53,3.6,73.5,67.7,On Track
Civil,4,Non-binary,24,BCA,5.3,28,98,3.9,72,9.6,85.9,86.1,On Track
Information Technology,2,Non-binary,22,MCA,7.0,23,58,3.0,47,6.1,57.1,51.4,At Risk
Electronics,7,Female,25,MBA,8.4,40,73,3.9,85,7.8,98.0,60.7,On Track
Computer Science,3,Non-binary,17,B.Sc,7.8,33,96,4.5,89,6.2,98.0,90.2,On Track
Information Technology,5,Male,18,MCA,9.1,32,49,4.6,78,9.3,82.8,46.2,On Track
Business Analytics,6,Non-binary,23,MCA,9.2,45,89,3.1,51,9.7,82.4,74.8,On Track
Mechanical,3,Male,22,MCA,5.3,21,61,4.5,67,8.7,67.5,50.3,On Track
Civil,1,Non-binary,21,B.Sc,7.1,27,68,4.9,58,9.7,73.1,56.1,On Track
Electronics,4,Male,17,BCA,9.6,35,71,5.8,85,3.8,98.0,66.7,On Track
Mechanical,4,Male,18,BCA,5.5,27,90,1.6,89,3.9,80.4,78.8,On Track
Computer Science,4,Male,20,MCA,6.7,31,70,5.9,50,7.1,65.7,66.0,On Track
Information Technology,8,Non-binary,24,MBA,5.6,54,56,0.7,45,6.7,54.8,48.3,At Risk
Information Technology,5,Female,22,BCA,5.5,31,56,5.2,96,8.8,93.3,47.1,On Track
Computer Science,7,Non-binary,22,B.Sc,8.3,50,61,4.7,41,7.5,62.9,54.2,On Track
Information Technology,8,Female,19,MBA,9.6,40,92,4.7,61,7.9,81.5,87.9,On Track
Mechanical,3,Male,17,BCA,6.2,24,50,0.6,89,8.3,68.9,50.8,On Track
Information Technology,1,Male,24,B.Tech,8.1,14,75,4.7,85,7.3,94.2,66.8,On Track
Electronics,4,Female,23,BCA,7.5,28,95,1.6,70,3.6,79.2,89.8,On Track
Civil,2,Male,19,B.Tech,5.9,32,84,2.5,49,9.8,70.6,78.2,On Track
Electronics,5,Male,23,MCA,8.9,32,58,4.2,92,5.1,95.6,48.8,On Track
Information Technology,8,Non-binary,22,B.Sc,7.8,41,61,2.7,65,4.5,67.8,57.0,On Track
Information Technology,4,Non-binary,24,MBA,7.4,30,67,3.8,77,9.6,87.6,61.3,On Track
Business Analytics,7,Male,25,BCA,7.7,51,78,6.2,80,9.0,98.0,69.8,On Track
Computer Science,8,Non-binary,18,BCA,7.3,48,86,4.2,94,4.8,97.5,79.6,On Track
Mechanical,7,Non-binary,21,B.Sc,9.2,45,87,5.8,75,3.6,96.2,78.5,On Track
Electronics,3,Male,22,B.Tech,8.3,32,79,2.0,92,7.5,98.0,70.5,On Track
Mechanical,3,Female,17,B.Tech,6.0,22,94,1.7,78,7.4,84.2,84.7,On Track
Computer Science,2,Female,20,MBA,9.0,25,85,1.9,53,9.7,80.1,82.1,On Track
Business Analytics,4,Male,22,MCA,8.8,29,56,2.7,60,4.7,78.1,53.8,At Risk
Civil,2,Male,19,MCA,6.9,26,78,3.2,94,6.5,85.4,71.0,On Track
Civil,3,Male,19,MCA,9.7,20,59,3.9,58,4.2,83.6,47.9,On Track
Mechanical,2,Non-binary,23,MBA,7.8,19,95,6.3,75,5.6,93.2,81.3,On Track
Information Technology,7,Female,18,B.Sc,8.5,48,48,3.9,48,3.7,67.3,45.0,At Risk
Business Analytics,4,Female,22,MBA,8.3,25,52,5.9,39,4.2,70.5,45.0,On Track
Civil,7,Female,25,MCA,6.3,47,97,2.6,40,5.4,58.0,91.0,At Risk
Information Technology,2,Female,21,B.Sc,7.6,23,66,5.6,90,7.5,93.8,56.1,On Track
Electronics,6,Male,18,BCA,8.3,43,76,2.0,84,6.1,89.0,68.9,On Track
Electronics,2,Female,17,BCA,6.4,27,66,5.4,79,3.6,83.9,59.2,At Risk
Computer Science,8,Female,20,B.Sc,7.3,54,92,4.1,60,3.7,75.9,86.7,On Track
Computer Science,1,Male,23,MBA,8.8,22,82,1.6,58,8.9,81.2,71.6,On Track
Mechanical,4,Non-binary,23,B.Sc,7.9,30,70,0.6,78,4.7,71.8,67.4,On Track
Electronics,2,Female,19,B.Tech,9.4,30,71,2.1,81,5.6,88.5,64.3,On Track
Computer Science,5,Non-binary,25,MBA,9.6,42,70,2.2,89,9.9,89.7,60.3,On Track
Mechanical,5,Male,24,MCA,7.9,32,70,3.4,78,3.7,87.8,65.0,On Track
Computer Science,5,Female,19,MBA,8.2,31,91,4.9,64,7.7,79.6,83.6,On Track
Computer Science,4,Non-binary,20,B.Sc,9.0,38,97,3.4,77,5.2,85.3,82.2,On Track
Mechanical,6,Female,18,MBA,9.2,37,56,3.3,79,6.1,82.0,49.6,On Track
Civil,7,Male,21,BCA,7.3,43,93,4.5,88,3.8,96.6,84.4,On Track
Business Analytics,2,Non-binary,21,MBA,5.9,18,62,1.8,49,7.1,58.0,56.7,At Risk
Civil,3,Male,20,MCA,5.6,34,97,2.0,64,9.7,64.5,90.0,On Track
Information Technology,3,Non-binary,24,BCA,5.0,29,61,6.4,89,7.7,87.5,55.8,On Track
Civil,6,Non-binary,24,BCA,7.5,37,88,6.1,48,4.5,76.0,76.0,On Track
Computer Science,4,Non-binary,23,B.Tech,8.6,25,85,6.5,78,8.4,93.6,80.6,On Track
Civil,5,Female,25,BCA,5.0,43,92,3.4,47,4.8,62.3,76.9,At Risk
Mechanical,2,Male,25,MBA,5.7,17,56,0.6,65,7.0,60.6,47.9,At Risk
Information Technology,4,Female,25,MBA,8.9,38,57,1.6,84,8.3,84.0,47.1,On Track
Computer Science,5,Female,24,MBA,5.0,34,52,0.8,54,6.6,56.4,49.4,At Risk
Mechanical,6,Male,23,B.Tech,9.1,44,89,3.1,49,6.3,68.3,79.7,On Track
Mechanical,7,Non-binary,22,B.Sc,9.5,48,50,6.4,74,9.8,86.1,45.0,On Track
Information Technology,7,Male,24,B.Tech,8.4,44,73,1.0,89,8.0,86.8,61.0,On Track
Business Analytics,4,Non-binary,23,BCA,8.0,30,98,2.4,57,7.7,80.8,88.1,On Track
Computer Science,3,Male,22,B.Sc,6.0,35,56,3.5,85,4.1,81.6,52.3,At Risk
Civil,5,Male,25,MBA,9.0,36,81,5.2,92,3.7,98.0,70.1,On Track
Information Technology,2,Female,24,BCA,7.9,31,59,3.4,89,9.8,94.7,51.3,On Track
Civil,1,Male,24,B.Tech,6.5,26,91,0.6,58,8.8,68.9,82.5,On Track
Computer Science,1,Non-binary,18,B.Sc,8.5,21,90,1.0,59,5.8,69.0,84.3,On Track
Business Analytics,4,Male,17,B.Sc,8.3,38,86,0.6,78,6.8,89.9,75.4,On Track
Business Analytics,4,Male,23,B.Tech,9.0,26,83,5.0,45,5.5,75.8,74.7,On Track
Civil,5,Female,19,B.Sc,9.4,30,86,6.5,50,6.7,86.5,73.9,On Track
Information Technology,3,Male,23,B.Tech,4.8,32,79,0.6,87,4.6,72.6,75.7,On Track
Civil,8,Non-binary,23,MBA,4.8,44,54,5.6,75,7.3,71.7,47.1,On Track
Civil,8,Female,22,BCA,6.3,53,67,1.6,55,4.4,68.8,55.0,On Track
Electronics,7,Non-binary,23,BCA,6.0,46,60,2.3,68,5.0,73.5,59.4,At Risk
Information Technology,5,Male,17,B.Tech,6.6,33,51,1.7,78,7.9,76.6,45.0,On Track
Civil,1,Female,24,MBA,5.7,14,59,1.6,90,8.1,73.1,47.3,On Track
Business Analytics,8,Female,23,B.Tech,8.6,48,67,2.2,92,9.6,87.7,63.1,On Track
Business Analytics,2,Non-binary,17,MBA,9.0,21,58,3.0,59,6.0,77.3,47.7,On Track
Electronics,7,Female,18,B.Sc,6.7,42,55,6.5,43,6.0,74.5,52.5,On Track
Business Analytics,2,Non-binary,19,B.Sc,5.4,21,80,6.2,40,6.9,64.5,71.8,On Track
Electronics,7,Non-binary,24,BCA,7.7,44,76,5.5,43,5.6,72.4,64.0,On Track
Information Technology,5,Non-binary,18,MBA,8.5,43,81,2.4,52,8.0,67.5,78.0,On Track
Mechanical,4,Female,20,B.Tech,9.0,30,83,4.2,45,7.0,82.1,72.4,On Track
Computer Science,2,Non-binary,23,MCA,7.1,18,93,2.2,92,6.7,96.4,81.5,On Track
Civil,6,Male,21,MCA,7.7,39,88,2.3,64,7.5,84.4,74.9,On Track
Civil,5,Male,18,MBA,4.8,34,59,1.4,70,9.8,59.6,52.9,At Risk
Electronics,2,Female,18,MBA,6.0,16,78,2.4,86,9.6,85.0,69.7,On Track
Electronics,8,Non-binary,23,MCA,8.3,54,84,2.5,61,7.7,81.0,77.5,On Track
Information Technology,6,Male,17,BCA,5.4,32,48,1.0,52,4.2,48.8,45.0,At Risk
Computer Science,7,Female,24,B.Tech,5.0,48,50,4.0,61,4.6,58.1,45.0,At Risk
Computer Science,2,Female,25,B.Tech,7.4,28,48,4.5,38,5.8,60.4,45.0,On Track
Business Analytics,7,Male,17,B.Tech,9.5,51,51,1.6,87,9.8,88.8,47.7,On Track
Electronics,8,Male,23,B.Sc,6.4,52,61,0.7,86,5.9,84.0,56.9,At Risk
Business Analytics,5,Male,24,B.Sc,6.6,32,80,6.0,43,6.7,72.0,74.8,On Track
Information Technology,7,Male,22,BCA,5.7,47,88,0.9,73,9.8,67.3,76.0,On Track
Civil,6,Female,25,MCA,7.0,42,81,2.3,55,7.0,71.6,74.0,On Track
Electronics,8,Male,19,BCA,8.4,47,71,0.7,66,7.0,70.3,65.1,On Track
Mechanical,8,Female,24,B.Tech,8.4,49,75,6.1,62,5.2,83.0,63.7,On Track
Computer Science,3,Male,18,BCA,9.3,32,68,1.7,92,4.1,92.4,61.5,On Track
Information Technology,8,Non-binary,22,BCA,6.0,44,63,1.4,75,9.1,70.9,62.4,On Track
